"project_id","title","description","operating_unit","budget","expense"
"00064223","r3.1 Global Fund Portfolio","Key basic service delivery systems are in place, laying the groundwork for increased demand and provision of TB, HIV and HSS services","South Sudan, Republic of","22592532.00","16614613.00"
"00059144","GFATM HIV Round 8 DRC- Integration of the HIV-AIDS prevention, care and treatment services","Integration of the HIV-AIDS prevention, care and treatment services packet in 196 priority health zones in the Democratic Republic of Congo","Democratic Republic of Congo","21415412.00","14831992.00"
"00058661","Health Systems Strengthening Cross-Cutting Interventions","Health Systems Strengthening Cross-Cutting Interventions","Zimbabwe","21398556.00","20392453.00"
"00062306","GFATM Round 8 HIV Grant in Zambia","Improved access to antiretroviral treatment (ART), scale –up prevention through HIV Counselling and testing services, male circumcision, provision of condoms and blood safety program","Zambia","20946075.00","13018108.00"
"00057030","Global Fund Malaria Round 7","Scaling up Malaria Intervention (SIM) in Northern Sudan to contribute to the improvement of the health status in northern part of Sudan.","Sudan, Republic of the","20913182.00","13689702.00"
"00043754","Mussaiab Power Station Stage II","Mussaiab Power Station Stage II/ Rehabilitation of  Mussayab Thermal Power Station - Unit-1 / Stage-2","Iraq","20419859.00","6130087.00"
"00058906","Control, vigilancia y evaluación de impacto regalias","Mediante los esfuerzos conjuntos del DNP y el PNUD, este proyecto pretende fortalecer las capacidades de gestión pública territorial y nacional con el fin de asegurar el control, la vigilancia, la implementación de procedimientos correctivos y evaluación","Colombia","20290721.00","19220648.00"
"00058919","Comprehensive Disaster Management Programme (CDMP)","Comprehensive Disaster Management Programme II is being developed further reduce Bangladesh's vulnerability to adverse natural and anthropocentric hazards and extreme events, including the devastating potential impacts of climate change.","Bangladesh","19167501.00","13728439.00"
"00070162","Fighting HIV /AIDS in Mali","Projet Phase du Round 8 VIH/Sida du Fonds Mondial: Prévention et Traitement du VIH/SIDA au Mali","Mali","18626281.00","961875.00"
"00061483","Haiti: Scaling up the Response to HIV/AIDS","Haiti: Scaling up the Response to HIV/AIDS - Increase in funding and activities to fight HIV AIDS","Haiti","18127100.00","13465960.00"
"00056855","Capacity for Governance Programme & Conflict Management","Supporting Nigeria's Capacity for Governance  and Conflict Prevention, Management and Peace-Building at the Federal and State level.","Nigeria","17179492.00","15504426.00"
"00065939","Single Stream  Funding Malaria (SSF)","TOWARDS UNIVERSAL ACCESS: SCALING UP EFFECTIVE MALARIA CONTROL INTERVENTIONS IN ZIMBABWE","Zimbabwe","16650032.00","11840850.00"
"00060694","Support to the Establishment of Indonesia REDD+","This project is designed to support the task force in the preparatory work for strengthening the REDD+ (reducing emissions from deforestation and forest degradation) readiness and its infrastructures.","Indonesia","16644811.00","9899533.00"
"00065878","South Sudan CHF MA/NGO","South Sudan Common Humanitarian Fund (South Sudan CHF) Management Agent/NGO execution","South Sudan, Republic of","16576181.00","15692646.00"
"00058656","Programa de Formación Académico Musical","Apoyar el proceso de consolidación estratégica de Fundación Musical Simón Bolívar a través de profesionalización y dotación de instrumentos y equipos, para el mejoramiento de las condiciones de vida de niños, niñas y adolescentes en condición de pobreza","Venezuela","16160157.00","14398794.00"
"00045886","Global Fund HIV Prevention & Treatment in Sudan Round 5","Scaling up the National Response for HIV Prevention and Treatment in Sudan by expanding and building on activities that were implemented under the HIV/AIDS Global Fund Round 3","Sudan, Republic of the","16084408.00","12102899.00"
"00058607","CIVILIAN POLICE PROJECT IN SOMALIA","The project works towards an efficient, effective, professional civilian police service that meets the requirements for community policing and the needs and expectations of all Somalis; In particular, supporting accountability and oversight mechanisms.","Somalia","15788428.00","14987986.00"
"00011503","Development and Confidence Building in the Chittagong Hill Tracts (CHT)","Development and Confidence Building in the Chittagong Hill Tracts (CHT)","Bangladesh","15709834.00","12091679.00"
"00048435","COMISION INTERNACIONAL CONTRA IMPUNIDAD CICIG","International Commission against Impunity in Guatemala (CICIG)","Guatemala","15509856.00","15085036.00"
"00047799","Democratic Institution Programme","Institutional Capacity Building Programme of Democratic Institutions of Ethiopia","Ethiopia","15455406.00","13130866.00"
"00057938","New Nicosia Waste Water Treatment Plant","The project for the new Nicosia Waste Water Treatment Plant aims to promote and facilitate access to wastewater services to both communities of Nicosia as a fundamental contribution to the on-going peace and confidence building process.","Cyprus","15271000.00","15103920.00"
"00061843","Early Recovery (ER) & Restoration in Pakistan","the programme seeks to restore sate and enabling environments for flood affected communities in 39 severly andmoderately affected districts to recover from the impacts of the floods","Pakistan","15097026.00","11578465.00"
"00060728","Fortalecimiento Agencia Nacional de Seguridad Vial","Fortalecimiento Institucional de la Agencia Nacional de Seguridad Vial (ANSV)","Argentina","14955299.00","12335299.00"
"00064257","Community Security and Arms Control Programme","Community Security and Small Arms Control Programme Support to BCSSAC in South Sudan","South Sudan, Republic of","14891793.00","9558484.00"
"00051188","DRC JOINT PROGRAMMING II","Projet d'appui aux activités humanitaires en République démocratique du Congo","Democratic Republic of Congo","14232959.00","14144380.00"
"00060484","2DA ETAPA CONSTRUYE T  APOYO A JOVENES DE EMS","Segunda etapa Apoyo a los y las jóvenes del nivel medio superior para el desarrollo de su proyecto de vida y la Prevención de riesgos","Mexico","13963910.00","8588292.00"
"00059147","Global Fund Single Stream of Funding TB/HSS","Comprehensiveness and Quality of DOTS in Sudan, addressing TB control in war-affected, post conflict areas and other challenges.","Sudan, Republic of the","13952225.00","9208683.00"
"00049410","Gestión Ambiental Minera para una Producción Sustentable","Contribuir al mejoramiento de las condiciones de producción en la actividad minera, sobre la base de un desarrollo ambiental y socialmente sustentable","Argentina","13917108.00","1760270.00"
"00014311","Desarrollo de los Centros de Justicia","Proyecto de Infraestructura y Desarrollo de los Centros de Justicia, de la Corte Suprema de Justicia.","Paraguay","13736228.00","13736228.00"
"00045545","RAF06002 Support MDG-Based Nt'l Dev. & Poverty Reduction","Support to MDG-Based Nt'l Dev. & Poverty Reduction","Reg Bureau for Africa","13609927.00","8904484.00"
"00040048","Prevention & control of HIV/AIDS, Malaria, TB in IR Iran","The prevention and control of HIV/AIDS, Malaria and Tuberculosis in I. R. Iran through public, civil society and private partnership - Global Funds for AIDS, Tuberculosis and Malaria (GFATM)","Iran, Islamic Republic of","13404115.00","12854528.00"
"00061345","Multi Year Disarmament, Demob. and Reint. Project","Multi Year Disarmament, Demobilization and Reintegration Project in the Republic of South sudan","South Sudan, Republic of","13324724.00","13653485.00"
"00079219","DRC Joint programming III","DRC-Pooled Fund/Management agent projet IV dans  la mise en oeuvre des projets humanitaires en République Démocratique du Congo par les biais des ONGs","Democratic Republic of Congo","13206279.00","10273365.00"
"00057246","GFATM  HIV Round 7","Integration of package of services for the prevention, care and treatment of HIV/AIDS in 43 priority health zones in the Democratic Republic of Congo","Democratic Republic of Congo","13155452.00","11568916.00"
"00061060","BRA/10/008 – Projeto de Estruturação do Sistema de Vigilância e Monitoramento de Produtos para a Saúde.","BRA/10/008 – Projeto de Estruturação do Sistema de Vigilância e Monitoramento de Produtos para a Saúde.","Brazil","13058737.00","965540.00"
"00049570","GOUVERNANCE JUDICIAIRE ET SECURITAIRE","Programme d'appui à la Gouvernance sécuritaire et judiciaire en République démocratique du Congo (Programme 2008-2012)","Democratic Republic of Congo","12974594.00","11813262.00"
"00048935","Country Support Team Workplan","BCPR Programme Support & Operations Cluster Workplan for all Regional Teams","Crisis Response Unit","12665097.00","9813404.00"
"00057409","Supporting the Rule of Law and Access to Justice","Strengthening Democratic Governance and the Social Contract by Supporting the Rule of Law (ROL) and Access to Justice in West Bank and Gaza","Prog for Palestinian People","12640897.00","5098337.00"
"00041098","Poverty Oriented Infrastructure through Employment Generation Programme Phases V - VIII","Poverty Oriented Infrastructure through Employment Generation Programme Phases V  - VIII  included approximately 325 smale scale infrastructure works in the West Bank and Gaza Strip.","Prog for Palestinian People","12350111.00","8120436.00"
"00041188","Support to the Electoral Process in Bangladesh","Support to the Electoral Processes in Bangladesh","Bangladesh","11835660.00","9407496.00"
"00014794","CIVIL AVIATION CARETAKER AUTHORITY","Civil Aviation Caretaker Authority for Somalia. It provides for the operation and maintenance of essential facilities, equipment and services for international air transport operations, including humanitarian and relief flights and local flight.","Somalia","11743790.00","4687505.00"
"00048867","Transition Recovery Programme","The Transiition Recovery Programme is a multi-donor funded, multi-project programme focusing on early recovery and subsequently transition to medium and lonter term recovery in the conflict-affected North and East of Sri Lanka.","Sri Lanka","11705943.00","9193631.00"
"00058204","CONSOLIDATED DEMOCRATIC&PARTICIPATORY GOVERNANCE INAFRIC","CONSOLIDATED DEMOCRATIC AND PARTICIPATORY GOVERNANCE IN AFRICA","Regional SC - Johannesburg","11665291.00","7058810.00"
"00042025","European Union Border Assistance Mission","European Union Border Assistance Mission to Moldova and Ukraine – enhancing the border and customs management capacities","Ukraine","11572731.00","11148252.00"
"00060044","Tsunami Recovery Waste Project","Tsunami Recovery Waste Management Project (TRWMP): Initiated through the Aceh Emergency Rsponse Transitional programme (ERTR).","Indonesia","11570024.00","10917576.00"
"00064003","Scale up of the response to HIV","Continuing scale up of the response to HIV with particular focus on Most-at-Risk Population and strengthening system and capacity for universal access to HIV prevention, diagnosis, treatment and care in Uzbekistan","Uzbekistan","11521051.00","7848801.00"
"00050968","Programme de Relèvement Immédiat","Programme de Relevement Immediat en Haiti","Haiti","11276267.00","10706148.00"
"00064522","Estrategia de Comunicación Poder Ejecutivo","Desarrollo e Implementación de la Estrategia de Comunicaciones del Poder Ejecutivo","Peru","10979490.00","10979273.00"
"00050123","Emergency Supply & Advanced Plan for Early Recovery-Gaza","Emergency Supply & Advanced Plan. for Early Recovery-Gaza.  This project aims to support advanced UN ER co.ord. and inter-agency programming, for comprehensive and multi-stakeholders.","Prog for Palestinian People","10967398.00","7627180.00"
"00063539","BRA/11/009 - FORTALECIMENTO DA AGRICULTURA FAMILIAR","The objective of this project is reduce levels of rural poverty, with poverty eradication and povetry reduction, promotion the economic organization and production of environmentaly sustainable family farmers","Brazil","10772872.00","4929562.00"
"00058925","2KEN09201 Support to Electoral Reforms in Kenya","Support to Electoral Reforms and Processes in Kenya","Kenya","10738400.00","10561000.00"
"00064390","4.3. Support to Access to Justice and Rule of Law","Institutional and technical support to the justice sector to facilitate provision of equitable access to justice, and promote the law and order through accountable and transparent formal and informal institutions.","South Sudan, Republic of","10588663.00","5206250.00"
"00062430","Strengthening of the Democratic Process in Egypt","Strengthening of the Democratic Process in Egypt","Egypt","10552266.00","9925967.00"
"00036408","DESARROLLO METROPOLITANO MUNICIPALIDAD DE GUATEMALA","PROGRAMA DE DESARROLLO METROPOLITANO DE LA MUNICIPALIDAD DE GUATEMALA","Guatemala","10547752.00","8876996.00"
"00047111","Making Budgets and Aid Work (MBAW)","Making Budgets and Aid Work (MBAW) supports Ministry of Finance in budget planning and management as well as national policy planning and aid management.","Afghanistan","10400001.00","6048847.00"
"00064179","1.3 Support to Planning and Public Financial Management.","Support the government implement a poverty-sensitive development policy agenda by building its capacity for evidence based planning, budgeting, program execution, and resource mobilization.","South Sudan, Republic of","10368441.00","9347169.00"
"00047364","GOUVERNANCE LOCALE ""PADDL""","Projet d'Appui à la Décentralisation et le Developpement Local (PADDL) qui   vise à améliorer l’accès aux services de base et de meilleures opportunités de création de richesses par une décentralisation plus effective et une meilleure gouvernance locale.","Democratic Republic of Congo","10247760.00","7438049.00"
"00065426","Libya Electoral Assistance Project (LEAP)","the project supports the government to prepare for  well -administered, transparent and credible elections that represent the will of the Libyan people and meet international best practices.","Libya","10200997.00","9019931.00"
"00045159","National response to HIV/AIDS and Tuberculosis in BIH","Coordinated National Response to HIV/AIDS &-Tuberculosis in War-torn and Highly Stigmatized Settings","Bosnia and Herzegovina","10187894.00","9243335.00"
"00058659","Improving accessibility to high quality DOTs in Zimbabwe","Round 8 TB Grant: Towards universal access: Improving accessibility to high quality DOTs in Zimbabwe","Zimbabwe","10150813.00","8005985.00"
"00048238","PROJET D'APPUI AU CYCLE ELECTORAL","Il s'agit d'un projet d'appui au cycle/processus électoral  en République démocratique du Congo.","Democratic Republic of Congo","10124079.00","8526166.00"
"00058898","National Institution Building Project","National Institution Building Project - Building the organizational capacity of leading Government ministries or agencies at the national level and local authorities at the sub-national level","Afghanistan","9817332.00","5526945.00"
"00063928","Global HIV, Health and Development Project","Policy and technical support to address development dimensions of HIV and health. UNDP’s work in HIV and health is guided by the 2030 Agenda for Sustainable Development & the UNDP Strategic Plan 2018-2021.","Bureau Policy & Prog Support","9609597.00","8431748.00"
"00064174","1.2.  Support to Public Administration","Support the Government to extend its reach and scope of public service delivery particularly at State and County levels; whilst also addressing the policy formulation necessary for establishing, and ensuring the functionality of the civil service.","South Sudan, Republic of","9516718.00","8881239.00"
"00063099","Sector Plan for HCFC Phase-out in the ICR Sector","Sector Plan for Hydrochlorofluorocarbon (HCFC) Phase-out in Industrial and Commercial Registration and Air Conditioning (ICR) Sector in China (Stage I: compliance with 2013 and 2015 targets)","China","9380000.00","9380000.00"
"00049785","2KEN08215 AMKENI WAKENYA","Supporting CSOs working in the areas of democracy, human rights, access to justice, good governance and the integration of a human rights-based approach and gender mainstreaming in governance processes and reforms in Kenya","Kenya","9347419.00","8339742.00"
"00062552","Fortalecimiento Ministerio Salud Santiago del Estero","Fortalecimiento de las Capacidades Institucionales del Ministerio de Salud y Desarrollo Social de la Provincia de Santiago del Estero a través de la mejora en el sistema de gestión  y desarrollo de un nuevo polo hospitalario en la ciudad de La Banda","Argentina","9165918.00","8158288.00"
"00050261","DARFUR COMMUNITY PEACE AND STABILITY FUND (DCPSF) PHASE II","The Darfur Community Peace and Stability Fund (DCPSF) 2008 UNDP/NGOs Allocation project aims to strengthen ongoing efforts to support inclusive and sustainable Darfur wide community-based peace negotiations and processes.","Sudan, Republic of the","9087838.00","5327103.00"
"00051109","PAUVRETE: COMPOSANTE RELEVEMENT COMMUNAUTAIRE","Dans le cadre du  Programme de Lutte contre la pauvreté en RDC, la composante Relèvement communautaire vise à relancer les économies locales, à le revitaliser et à promouvoir la cohésion sociale.","Democratic Republic of Congo","8971524.00","7350386.00"
"00063535","Reforme Secteur Sécurité RSS","Recensement biométrique et renforcement du contrôle civil des Forces de Défense et de Sécurité","Guinea","8856325.00","5802918.00"
"00049243","Fortalecimiento Instituto Nacional de Estadisticas","Contribuir a mejorar la generación de información estadística para la toma de decisiones de agentes públicos y privados, apoyando al Instituto Nacional de Estadísticas a mejorar la calidad, integridad y acceso a la información estadìstica.","Venezuela","8700157.00","2419730.00"
"00057970","Enhancing Legal and Electoral Capacity for Tomorrow","Enhancing Legal and Electoral Capacity for Tomorrow  supports the Independent Election Commission of Afghanistan with capacity development and voters registery","Afghanistan","8524119.00","7082326.00"
"00031641","Project Implementation Services by Opert.Unit for Dev.As","Project Implementation Services by the Operational Unit for Development Assistance (OUDA)","Egypt","8500000.00","7916455.00"
"00048246","Community Based Approach to Local Development Project","Community Based Approach to Local Development Project (CBA) – to create enabling environment for sustainable socio-economic development at local level by promoting local self-governance abd community-based initiatives throughout Ukraine.","Ukraine","8493793.00","8633806.00"
"00051335","Micro finance","Sustainable Microfinance to Improve the Livelihoods of the Poor.","Myanmar","8253595.00","4493975.00"
"00045896","Scaling-up the UNDP-UNEP Poverty-Environment Initiative","Integrating environment into poverty reduction strategies and the implementation of national development programmes","Bureau Policy & Prog Support","8244871.00","6937869.00"
"00063257","UN-REDD Global Programme Support to National REDD+Action","United Nations-Reducing Emissions from Deforestation and Forest Degradation Global Programme Framework","Bureau Policy & Prog Support","8226042.00","4760720.00"
"00058593","Strengthening supportive env-t to contain HIV epidemic","The goal of the GFATM-funded project “Strengthening the supportive environment and scaling up prevention, treatment and care to contain HIV epidemic in the Republic of Tajikistan” (GFATM grant # TAJ-809-G07-H) is to provide universal access to HIV servic","Tajikistan","8131180.00","11323455.00"
"00062207","GFATM Round 7 Phase 2 Malaria Grant in Zambia","Improved access to anti-malarial drugs; expand use of diagnostics in health facilities and at community level using RDTs and, training of health care workers in malaria case management","Zambia","8128403.00","3662550.00"
"00062372","Reduction of human immunodeficiency HIV infection spread","Reduction of human immunodeficiency virus (HIV) infection spread among the most vulnerable population.","Kyrgyzstan","8112424.00","5237330.00"
"00048213","GEF SGP Operational Phase IV","GEF SGP OP IV - Global environmental benefits secured in the GEF focal areas through community-based initiatives and actions.","Bureau Policy & Prog Support","8093651.00","7797597.00"
"00046956","Fortalecimiento Poder Judicial","Se realizarán acciones para lograr el fortalecimiento institucional del Poder Judicial, como uno de los pilares de la construcción democrática en Perú.","Peru","8080362.00","7548053.00"
"00061146","Moldova Energy and Biomass Project","The Project aims to contribute to a more secure, competitive and sustainable energy production in Moldova through targeted support to the most viable and readily available local source of renewable energy, namely biomass from agricultural wastes.","Moldova, Republic of","8056370.00","7658895.00"
"00061084","APPUI AU DETACHEMENT INTEGRE DE SECURITE","Ce programme conjoint vise à assurer la sécurité des opérations et du personnel  humanitaires après le départ de la Mission des Nations Unies pour la République Centrafricaine et le Tchad .","Chad","8054009.00","5235823.00"
"00093060","BIH Tuberculosis Strategy","Strengthening the Directly Observed Short Treatment Course (DOTS) Strategy and Improving the National Tuberculosis Programme in Bosnia and Herzegovina","Bosnia and Herzegovina","7980368.00","3527194.00"
"00047321","Support to National TB and HIV/AIDS control Programs","Enhanced Capacity of Government of Iraq  to address TB and HIV/AIDS including the delivery and usage of GFATM resources","Iraq","7869778.00","8483988.00"
"00059615","Prevención VIH/sida en Cuba- Atención Integral y Apoyo","“Expansión y descentralización para la prevención del VIH/sida y para la atención integral y apoyo a personas viviendo con VIH/sida en la República de Cuba”","Cuba","7757180.00","6531918.00"
"00039512","Sustainable Rehabilitation of war victims in Burundi","Programme d'appui a la reintegration/rehabilitation des sinistres et de lutte contre la pauvrete.","Burundi","7735445.00","5868977.00"
"00058220","REDES-ESTRATEGIA DESARROLLO, PAZ Y RECONCILIACION","Contribuir a la construcción social de paz, al desarrollo humano, la gobernabilidad democrática y la reconciliación a través del respaldo y fortalecimiento, en los ámbitos nacional y territorial, de iniciativas de la sociedad civil y del Estado","Colombia","7733390.00","6268504.00"
"00051273","BRA/08/012 - Support for traditional communities","BRA/08/012 - Programa de Apoio ao Agroextrativismo e aos Povos e Comunidades Tradicionais","Brazil","7663716.00","2029254.00"
"00057622","Refugee Affected & Hosting Areas Programme","The overall objective of RAHA is to promote regional stability and compensate for social, economic and environmental consequences wrought on Pakistani communities by the presence of more than 3 million Afghans over the past 30 years.","Pakistan","7538668.00","7313823.00"
"00051177","Community Development for Remote Townships","Community Development for Remote Townships.","Myanmar","7517286.00","6791583.00"
"00051157","Desarrollo de la Agencia de Recaudación Buenos Aires","Desarrollo Institucional de la Agencia de Recaudación de la provincia de Buenos Aires","Argentina","7479693.00","3462982.00"
"00064379","Stabilization Programmes and Rapid Stabilization Facility","SSRF-UN Joint Stabilization Programmes (Eastern Equatoria, Jonglei, Lakes & Warrap) and Rapid Stabilization Facility (RSF)","South Sudan, Republic of","7408362.00","3365575.00"
"00067552","Projet d'Appui aux Elections Législatives et Municipales","Le projet vise principalement à apporter un appui à la Commission Electorale Nationale Indépendante (CENI) en vue de l'organisation d’élections législatives et municipales libres, transparentes, crédibles et inclusives.","Burkina Faso","7349170.00","5299810.00"
"00056887","Support to Democratic Governance","Capacity building of key government institutions and departments","Zimbabwe","7349139.00","7133668.00"
"00061056","BRA/10/006 – Projeto de Estruturação da Governança na Re","BRA/10/006 – Projeto de Estruturação da Governança na Resposta Nacional ao HIV, Aids e outras DST.","Brazil","7233719.00","7050870.00"
"00013948","Integrated Community Development Project-ICDP","Integrated Community Development Project","Myanmar","7130305.00","6236524.00"
"00049804","Increasing women's household income in target communitie","Increasing women's household income in target communities in select states of India","India","7125466.00","5351037.00"
"00014300","Programa de Desarrollo Sostenible Bocas del Toro","Fortalecimiento interinstitucional para el desarrollo de la Estrategia de Desarrollo Sostenible de la provincia de Bocas del Toro","Panama","7070551.00","6425643.00"
"00061320","Comprehensive Disaster Risk Management Programme","The Comprehensive Disaster Risk Management Programme (CDRMP) has been formulated as part of the Strategic Partnership Framework signed between the BCPR and UNDP. The project is aligned with UNDP Strategic Plan Outcome 5 & UNDAF Outcome 7.","Nepal","7065927.00","6395958.00"
"00063660","Art Initiative-territorial and thematic coop","ART – Territorial Partnerships for Implementing the SDGs at local level- global project implemented through Trust Fund for Innovative partnerships","PB","7064703.00","876710.00"
"00063078","Enhancing Legal and Electoral Capacity for Tomorrow 2","Enhancing Legal and Electoral Capacity for Tomorrow 2  supports the Independent Election Commission of Afghanistan with capacity development and voters registry in Afghanistan.","Afghanistan","7037957.00","3707349.00"
"00058288","Police Reform Programme II","Police Reform Programme II project's is being developed for improving the efficiency and effectiveness of the Bangladesh Policy by supporting key areas of access to justice, including crime prevention","Bangladesh","7015361.00","5616627.00"
"00043217","Enhancing Legal and Electoral Capacity for Tomorrow","ENHANCING LEGAL AND ELECTORAL CAPACITY FOR TOMORROW supports the Independent Election Commission of Afghanistan with capacity development and voters registry","Afghanistan","6979836.00","2578741.00"
"00014911","Communities development programme in Tajikistan","UNDP COMMUNITIES PROGRAMME","Tajikistan","6889942.00","6539543.00"
"00046528","Umbrella Proj. Spanish TF for an Int. & Incl. Developmt.","Umbrella Project - Acuerdo entre el Ministerio de Asuntos Exteriores y de Cooperación de España y el Programa de las Naciones Unidas para el Desarrollo (PNUD) a fin de establecer un Fondo Fiduciario para un Desarrollo Integrado e Inclusivo","Reg Bur Latin Amer & Carib","6879913.00","0.00"
"00043456","POS - Programme Oasis du Sud Guelmim-Assa-Tata","Programme Développement Territorial Durable des Provinces de Guelmim, Tan Tan, Tata, Assa - Zag et Tarfaya (Programme Oasis du Sud - POS)","Morocco","6863862.00","6899109.00"
"00056636","Global Programme for the Electoral Cycle Suport (GPECS)","Global Programme for Electoral Cycle Support (GPECS)
Global Project for Electoral Strengthening","Bureau Policy & Prog Support","6858695.00","5543615.00"
"00033274","Human Development Reports","Promote HD approach both internationally and nationally through HDRs and NHDRs","Human Development Report Ofc","6857293.00","5809140.00"
"00058616","DDR/ARMED VIOLENCE REDUCTION PROJECT IN SOMALIA","Renamed The Community Security Project, it supports the Somali government authorities in the development and implementation of key National Peacebuilding and Community Security Policies and the development of alternative sentencing guidelines.","Somalia","6809852.00","7330403.00"
"00041978","Promoting Access to Justice & Human Rights in Bangladesh","Promoting Access to Justice & Human Rights in Bangladesh - Aims to improve access to justice, especially for disadvantaged and vulnerable groups","Bangladesh","6787741.00","5854881.00"
"00063389","Support to Elections during Transitional Period","Support to Elections during Transitional Period to support the electoral cycle following phase II of the Transitional Period","Yemen","6734628.00","6656156.00"
"00050252","Sistema de Formación Continua","Apoyo al Programa de Desarrollo de un Sistema de Formación Contínua","Argentina","6722643.00","5713788.00"
"00049382","Fortalecimiento de la intergracion de la politica social del Ministerio en el territorio.","Apoyar la transformación de la política social integrando las acciones de gobierno en el plano social, institucional y territorial","Argentina","6574183.00","5665050.00"
"00056741","Economic Governance Programme","Major progress by 2012 towards evidence-based, technically sound and inclusive development planning system.","Nigeria","6531277.00","5571043.00"
"00048982","Conflict Team Workplan","Workplan for Conflict Prevention and Recovery Team at Bureau for Crisis Prevention and Recovery","Bureau Policy & Prog Support","6494706.00","5344850.00"
