"project_id","title","description","operating_unit","budget","expense"
"00112168","Effective HIV and TB control project in Kyrgyzstan","The goal is to reduce TB & HIV burden in Kyrgyzstan through universal access to timely & quality HIV & TB diagnosis & treatment, HIV preventive activities focused on key affected population, ensuring enabling environment and programme sustainability","Kyrgyzstan","9228053.00","8996374.00"
"00099750","Social Protection","Social Protection and Resilience Building project aims at enhancing the resilience of vulnerable Yemenis.","Yemen","9177120.00","5190047.00"
"00077970","Access to Justice and Rule of Law","Access to Justice and Rule of Law project contributes to the strengthening of peace infrastructures and accountable governance at the national and sub-national levels.","South Sudan, Republic of","9158826.00","5294259.00"
"00113685","Rehabilitation of Social Services and Infrastructure","Enhancing Humanitarian Recovery and Resilience.","Syria","8945478.00","6606718.00"
"00112383","Resiliencia climática en la Mojana - Clima y Vida","Mejorar la resiliencia climática de las comunidades vulnerables en la Región de La Mojana a través de soluciones adaptativas a largo plazo que aborden el suministro, el uso y la gestión de riesgos relacionados con las inundaciones y la escasez de agua.","Colombia","8875433.00","2518449.00"
"00097936","Community-Based Agriculture and Rural Development - West (CBARD-W)","Community-Based Agriculture and Rural Development - West (CBARD-W)
To prove the viability of high-value agricultural-based interventions in improving local economies in Farah and Badghis as a sustainable alternative to illicit crop cultivation.","Afghanistan","8836586.00","1646872.00"
"00121213","Allocation d'urgence du Fonds Commun Humanitaire non-HRP - Réponse Ebola - DRC-FH/UR-NGO's Mai 2019","Allocation d'urgence du Fonds Commun Humanitaire  non-HRP - Réponse Ebola-2019 en république démocratique du Congo","Democratic Republic of Congo","8788974.00","4316212.00"
"00088033","GCF-Resilient development in coastal zones","Strengthening capacity and institution for resilient development in coastal zones","Viet Nam","8756565.00","3712978.00"
"00125389","Processus électoral 2020-2021","L'objectif du projet est d'assurer la coordination efficace de l'appui technique et financier des partenaires au processus électoral au Niger.","Niger","8565404.00","2852889.00"
"00114502","BRA/18/019 - Sistema Prisional e Socieducativo CNJ","BRA/18/019 - Fortalecimento do Monitoramento e da Fiscalização do Sistema Prisional e Socioeducativo (CNJ)","Brazil","8505220.00","4221111.00"
"00098088","BRA/17/018 - Fortalecimento da Gestão dos Serviços e do Sistema de Saúde do Haiti.","BRA/17/018 - Fortalecimento da Gestão dos Serviços e do Sistema de Saúde do Haiti.","Brazil","8498080.00","4209917.00"
"00098024","Scaling up approaches to respond to TB Challenges and Strengthening Health Systems Initiatives in Afghanistan.","Scaling Up Innovative Approaches to Respond to TB Challenges and Strengthening Health Systems Initiatives in Afghanistan is supporting by the United Nation Development Programme UNDP Country Office for Afghanistan.","Afghanistan","8490327.00","2786631.00"
"00084664","URU/14/007 Programa de Mejoramiento de Barrios II","Busca contribuir a mejorar las condiciones de vida de la población residente en asentamientos irregulares y áreas degradadas, mejorando el acceso de los hogares a infraestructura básica y servicios sociales y urbanos adecuados.","Uruguay","8331389.00","5726285.00"
"00120215","Fortalecimiento MOPC","Fortalecimiento de la Gestión del Ministerio de Obras Públicas y Comunicaciones a través de asistencia técnica especializada de manera a desarrollar obras con un importante componente de sustentabilidad.","Paraguay","8241886.00","3201925.00"
"00126803","Respuesta ante la emergencia por COVID-19 en Ecuador.","Emergencia  COVID-19 en Ecuador.","Ecuador","8227960.00","4088965.00"
"00126826","UNDP Guinea Bissau Early Response to the COVID-19 Crisis","This project is a UNDP Guinea Bissau CO response to mitigate the negative effects of COVID-19.","Guinea-Bissau","8181766.00","3520863.00"
"00126827","Support to the Gov of Timor-Leste responding to COVID-19","Procured essential supplies, medicines, equipment for GoTL preparedness and response to COVID; Strengthen Nat & municipal capacities to respond and recover from COVID-19; Empower local economies through innovative local solutions in response to COVID-19","Timor-Leste","8085735.00","4046890.00"
"00098736","Green Climate Fund Vaisigano River Catchment","Integrated Flood Management to Enhance Climate Resilience of the Vaisigano River Catchment in Samoa","Samoa","8060392.00","2275939.00"
"00098752","GAVI Phase II-Improving vaccination systems","Improving efficiency of vaccination systems through operationalisation of web based vaccine management system in all the districts of select states","India","7920872.00","7098144.00"
"00099947","Yemen Crisis Response Project II","The 24-month Emergency Crisis Response Project (ECRP) aims to mitigate the impact of the current crisis on local households and communities and assist their recovery from the bottom-up using local systems,","Yemen","7875772.00","5632150.00"
"00126746","COVID-19 Rapid Response","COVIDI-19 Rapid Response","Uzbekistan","7859615.00","1223210.00"
"00082279","Activating Village Court Phase II","Activating Village Courts in Bangladesh Phase II seeks to support Village Courts in Bangladesh as an effective local dispute resolution mechanism.","Bangladesh","7836030.00","3696814.00"
"00088875","Stabilisation and Development Programme","SDP is one of the key initiatives supported by UNDP to augment sustainable returns and development of the newly merged districts (NMDs).","Pakistan","7744932.00","5705624.00"
"00107433","Embarazo Adolescente","Apoyo al Plan Nacional de Prevención y Reducción del Embarazo No Intencional en la Adolescencia","Argentina","7730935.00","3874557.00"
"00095479","Appui à la Cour Pénale spéciale","Opérationnalisation de la Cour Pénale Spéciale en vue de la lutte contre l'impunité.","Central African Republic","7623333.00","3098245.00"
"00121215","7th Operational Phase of the GEF Small Grants Programme","PIMS6271 - 7th Operational Phase of the GEF Small Grants Programme","Bureau Policy & Prog Support","7500000.00","0.00"
"00115372","Strength. Nat. Cap. to Support Development Sectors","Strengthening National Capacities to Support Development Sectors in Egypt (OUDA)","Egypt","7403836.00","6180784.00"
"00107866","Planes de ordenamiento social de la propiedad rural","Apoyo a la Agencia Nacional de Tierras en el desarrollo de las fases de formulación e implementación de planes de ordenamiento social de la propiedad rural en la zona norte del país.","Colombia","7390356.00","1141968.00"
"00100113","Malawi National Registration and Identification System","The Malawi National Registration and Identification System (NRIS) project - to contribute to Government’s efforts to guarantee the fundamental right to identity, entitlement and enjoyment of full citizenship in Malawi.","Malawi","7362965.00","5162822.00"
"00085987","Strengthening Inclusive Development in Chittagong Hill Tracts (CHT)","Strengthening Inclusive Development in Chittagong Hill Tracts. The project will produce results on three interlinked levels strengthening the capacity of the population in the Chittagong Hill Tracts to shape and make decisions that impact on their lives.","Bangladesh","7355988.00","5085463.00"
"00106781","UNDP NDC Support Programme","This Global Programme was created to support Governments to achieve transformational change by using NDC implementation as a mechanism to scale up investments in climate change and deliver sustainable development.","Bureau Policy & Prog Support","7293918.00","3681189.00"
"00033274","Human Development Reports","Promote HD approach both internationally and nationally through HDRs and NHDRs","Human Development Report Ofc","7272578.00","4634773.00"
"00014311","Desarrollo de los Centros de Justicia","Proyecto de Infraestructura y Desarrollo de los Centros de Justicia, de la Corte Suprema de Justicia.","Paraguay","7236128.00","3550754.00"
