project_id,title,description,operating_unit,budget,expense
93892,CRU - Global Project - Crisis Response,"The global project for Crisis Response enables implementation of, and strengthens the key principles and elements of UNDP’s corporate crisis response strategy in order to ensure that the Organization’s crisis response capacity is fit for purpose.",Crisis Response Unit,25825905,3108231
122500,Managing Agent of the Sudan Humanitarian Fund,Sudan Humanitarian Fund SHF 2019-UNDP-NGOs-SA2. This project has been established in line with UNDP’s role as Managing Agent of the Sudan Humanitarian Fund.,"Sudan, Republic of the",23880049,5964147
108446,Turkey Resilience Project in response to the SyriaCrisis,This proposal aims to strengthen the economic and social resilience of the individuals and institu-tions in the provinces that are most affected by the influx of Syrian refugees.,Turkey,23693460,11777001
95143,"Apoyo a la Implementación de la Política Nacional de Ciencia, Tecnología e Innovación","Apoyar a la SENACYT en la implementación de su Política de Ciencia, Tecnología e Innovación (PENCYT)",Panama,23561733,417825
74638,Global Health Innovative Tech Research and Development,"Global Health Innovative Technology Research and Development - Accelerating access and delivery of new health technologies for tuberculosis, malaria and neglected tropical diseases: supporting countries to achieve universal health coverage.",Bureau Policy & Prog Support,23333483,22915256
112026,Achieving 2030 Agenda for Sustainable Development in AP,This Regional Project is designed as a framework for UNDP’s contributions to support countries in Asia and the Pacific to achieve eradication of poverty and significant reduction of inequalities and exclusion in a way that is sustainable and resilient.,Rgnl Center in Bangkok (RCB),23012161,10756896
84928,Inception Phase - National Urban Poverty Reduction Programme,National Urban Poverty Reduction Programme (NUPRP) will initially focus on up to 36 cities/towns in two phases throughout 2016-2022.,Bangladesh,22967807,11634365
65799,Supporting Lebanese Hosting Communities,"Support to economic recovery, community security and social cohesion in Lebanese communities affected by the Syrian Crisis",Lebanon,22640910,15293104
119021,Première Allocation Standard du Fonds Commun Humanitaire - DRC-FH/UR-NGO's Janvier 2019,Première Allocation Standard du Fonds Commun Humanitaire - Janvier 2019  en république démocratique du Congo,Democratic Republic of Congo,22541439,15364543
85156,Iraq Crisis Response and Resilience,"Iraq Crisis Response and Resilience is a programme that supports crisis response, and helps to strengthen resilience in Iraq.",Iraq,22141200,11158275
117580,Electoral Support Project,"This initiation plan for Electoral Support Project has been developed to support the National Electoral Board of Ethiopia (NEBE) to ensure credible, inclusive and peaceful general elections which will take place in 2020 elections.",Ethiopia,22015119,23177241
117562,CA-19 /CHFRES SA REP EPIDEMIE HEPATHITE VIRALE (E) RCA,Cette contribut° est la réponse aux besoins humanitaires les plus urgents identifiés à travers le Plan de Réponse Humanitaire 2018 et non couverts depuis le début de l’année 2018 ainsi que les nouvelles urgences découlant du contexte de conflits en RCA.,Central African Republic,21457397,18450275
124997,Projet d’Appui au Processus Electoral 2019-2022,"Le  présent projet vise à apporter une assistance au renforcement des capacités organisationnelles, techniques, financières et opérationnelles des principaux acteurs nationaux impliqués dans le processus électoral",Central African Republic,21353147,17157027
112695,Programme d’Appui à la Lutte Antipaludique au Tchad – Phase III ,Le projet PALAT III s’inscrit dans le cadre du financement du Fonds mondial pour la lutte contre le paludisme au Tchad pour la période allant du 1er juillet 2018 au 30 juin 2021,Chad,21216372,14361201
127475,Support to COVID-19 Response,COVID-19 Response Plan for Nigeria with the objective to ensure optimum care of confirmed COVID-19 cases and contain the spread of the outbreak through an inclusive and nationally owned process and based on emerging best practices.,Nigeria,21161063,7907747
108620,Global Funds programme continuation,"continuing the implementation of current Global Fund grants for an additional three years under  the same goals, strategic objectives and similar programmatic interventions.","Sudan, Republic of the",19857848,13320081
36408,DESARROLLO METROPOLITANO MUNICIPALIDAD DE GUATEMALA,PROGRAMA DE DESARROLLO METROPOLITANO DE LA MUNICIPALIDAD DE GUATEMALA,Guatemala,19789602,13872974
89434,Zimbabwe Resilence Building Fund,Increased capacities of communities to protect development gains and achieve improved well-being outcomes in the face of shocks and stresses enabling them to contribute to the economic growth of Zimbabwe,Zimbabwe,19727032,12507798
116957,Joint UNDP-DPPA Programme on conflict prevention,Joint UNDP-DPPA Programme on building national capacities for conflict prevention deploys Peace and Development Advisors (PDAs) in fragile countries and supports Resident Coordinators (RCs) and UNCTs.,Crisis Response Unit,19085854,11640073
90603,Bosques Nativos y Comunidad,"El Objetivo proyecto es la mejora de la calidad de vida de las comunidades que habitan los Bosques Nativos a través de la promoción de la conservación, restauración y uso responsable de sus servicios y productos.",Argentina,18880932,908443
129365,HIV MAL & TB Z GRANT,HIV MAL & TB Z GRANT,Angola,17108002,11328
126570,Response to COVID-19 outbreak,Response to COVID-19 outbreak in BIH,Bosnia and Herzegovina,16875742,8937412
120134,Managing Agent of the Sudan Humanitarian Fund - SDN 2019 SHF-UNDP-NGOs-SA1,UNDP Sudan 2019 Sudan Humanitarian Fund (SHF) UNDP-NGOs-SA1. This project has been established in line with UNDP’s role as Managing Agent of the Sudan Humanitarian.,"Sudan, Republic of the",16514993,6474706
121711,réponse rapide aux besoins les plus urgents des populations affectées par la crise - DRC-FH/UR-NGO's Juilllet 2019,"Cette allocation est une réponse rapide aux besoins les plus urgents des populations affectées par la crise dans les Régions du Nord-Est, Centre- Est et Yumbi de la RD-Congo ainsi qu’aux personnes exposées à des risques ou touchées par les épidémies.",Democratic Republic of Congo,15707389,11714623
126930,COVID-19 MOIA,"Support to Ministry of Interior Affairs, Afghanistan in efforts to contain & respond to COVID-19 situation for ANP",Afghanistan,15322599,5728402
116311,Prog. for EQ & Tsunami Infrastruc. Recon. Asst. (PETRA),"Indonesia, Sulawesi/Lombok Programme for Earthquake and Tsunami Infrastructure Reconstruction Assistance (PETRA)",Indonesia,14830534,2571134
101442,Fonds National REDD+ de la RDC -Programme d’Appui à la Société Civile,Ce programme contribue à la bonne gouvernance du programme REDD+ en Republique democratique du Congo,Democratic Republic of Congo,14768180,5176137
68663,Promover y fortalecer las estrategias de la Secretaría de Gabinete y Coordinación Administrativa para mejorar la atención al ciudadano y contribuir a la institucionalización de una gestión pública de calidad,Promover y fortalecer las estrategias gubernamentales de la Subsecretaría de Gestión Administrativa de Innovación Pública para mejorar la atención al ciudadano y contribuir a la institucionalización de una gestión pública de calidad.,Argentina,14023151,239850
59882,POLITICAS MUNICIPALES DE JUVENTUD,"El proyecto pretende contruibuir a la promoción y tutela de los derechos fundamentales de los jóvenes, para la prevensión de todas las formas de discriminación y marginalización.",Guatemala,13984223,2693840
102590,Scaling-up of GLOF Risk Reduction in North Pakistan,Scaling-up of Glacial Lake Outburst Flood (GLOF) Risk Reduction in Northern Pakistan,Pakistan,13962640,1908055
99753,Emergency Mine Action,Emergency Mines Clearance to reduce the socio-economic impact of explosive remnants of war and mines on people and communities.,Yemen,13862204,9974831
121665,Moz Recovery Facility,"The UNDP Recovery Facility has been developed in the aftermath of Cyclones Idai and Kenneth, aiming to contribute to Mozambique’s rapid restoration of development pathways in a manner that builds resilience to disasters.",Mozambique,13781503,4214552
107033,Mejorando la Eficiencia y la Calidad del Sector Educativo,Mejorando la Eficiencia y la Calidad del Sector Educativo en Panama en la asignación de recursos y orientar las decisiones de política educativa a través de una transformación digital de los sistemas de información del Ministerio,Panama,13758828,4146992
128893,Apoyo al Programa RISP-HO COVID-19,Proyecto Respuesta Inmediata de Salud Pública para Contener y Controlar el Coronavirus (COVID-19) y Mitigar su Efecto en la Prestación de Servicios en Honduras (RISP-HO),Honduras,13541627,0
73902,"Programmade Gobernanza y Gestion en Salud - Proyectos ""Banco Internacional de Reconstruccion y Fomento""","Con la realización del Proyecto, se espera lograr una: i) Gestión Centralizada de la UFIS de la cartera del BM; ii) Apoyo en la utilización y calidad de los servicios de salud priorizados para la población sin cobertura explicita de salud.",Argentina,13389620,2582102
108414,Support Services to Ministry of Health,Support to the implementation of the TB and Malaria grants managed by the Ministry of Health and Child Care in Zimbabwe,Zimbabwe,13298318,6638081
121600,South Sudan Humanitarian Fund - SSHF 2019 SA2 MA/NGOs,This project has been established in line with UNDP’s role as Managing Agent of the South Sudan Humanitarian Fund/Country Based Pooled Fund as detailed in the SSHF/CBPF’s Terms of Reference.,"South Sudan, Republic of",13221208,10039022
95107,Procurement Support Services to FMOH,To strengthen the national public health procurement system and thereby improve the effectiveness of diagnosis and treatment of patients in the Republic of the Sudan,"Sudan, Republic of the",13219024,7384758
106306,"Expanding and Enhancing Quality TB Prevention, Care, and Control Services in South Sudan","Expanding and Enhancing the Quality of HIV Prevention, Care, and Control Services in South Sudan","South Sudan, Republic of",12911922,10999640
107254,Support national Tuberculosis and HIV programs,Le projet vise à soutenir les programmes nationaux de lutte contre la tuberculose et le VIH pour accélérer la mise en œuvre du plan stratégique national afin de réduire le fardeau du VIH et de la tuberculose au Burundi,Burundi,12741443,8089026
107251,Eradication of Malaria in Burundi through Preventive and Management Actions,Réduction de la vulnérabilité liée au paludisme au Burundi de 2018 à 2020 par les actions de prévention et de prise en charge en population générale,Burundi,12530299,8720067
87555,Acercando el Estado al Ciudadano,"Contribuir a garantizar el acceso público del Estado al ciudadano a partir del diseño de una estrategia de comunicacion inclusiva y sostenible con enfoques de inclusion social, genero e interculturalidad.",Peru,12439649,9823005
129611,Catalytic Support to MOIA-Korea Project,This Project supports the general approach through key interventions through catalytic interventions to support reform within the MOIA (successor of TSM PIP-Korea funded),Afghanistan,12380850,0
101619,Technical Assistance to REDD+ Implementation,Technical Assistance to implementation of United Nations Programme on Reducing Emissions from Deforestation and Forest Degradation,Bureau Policy & Prog Support,12337561,8478453
121534,CliMateSud - Strategic Accelerator Partnership,Strategic Accelerator Partnership for Climate Change and Sustainable Development: partnership between UNDP and Italy to support countries in the areas of climate change and natural capital and environment supporting countries to achieve their SDGs.,Bureau Policy & Prog Support,12330342,3842957
117366,"Darfur Stabilization, Transition and Recovery Programme","ACTIVITIES TO BE UNDERTAKEN WITH UNAMID FUNDS IN SUPPORT OF THE UNITED NATIONS ACTIVITIES IN DARFUR ON HUMAN RIGHTS, RULE OF LAW AND RESILIENCE AND LIVELIHOODS/DURABLE SOLUTIONS","Sudan, Republic of the",12305768,6250795
108936,Integrated Community Stabilization,"The programme aims to stabilize local communities devastated by Boko Haram in North East Region of Nigeria through integrated approach focusing on the four inter-related areas: livelihoods, social cohesion, basic services, and local governance.",Nigeria,12186516,5862655
123140,Stabilization Facility-Nigeria Window,"The Facility act as a rapid-response package, aiming to achieve the immediate stabilisation of specific target areas in North East Nigeria, cleared of Boko Haram control, but where communities remain vulnerable to continued infiltration and attack.",Nigeria,12156660,6230435
126670,Appui à la Réponse Nationale du COVID-19,Appui à la Réponse Nationale du COVID-19,"Cameroon, Republic of",11940353,7376293
113842,Disaster Response and Recovery Facility (DRRF),"Disaster Response and Recovery Facility (DRRF) programme aims to enhance disaster response and recovery functions to address natural disasters and humanitarian crisis, including Rohingya influx in Cox's Bazar.",Bangladesh,11513690,5066127
104158,Resilience and Recovery,"Put the country on a more robust development path by helping the local authorities to restore security, essential services delivery and livelihoods opportunities.",Libya,11486999,10151749
113322,Somalia Justice Programme,"The Somalia Justice Programme supports the National Development Plan 2017-2019 goal to ‘Establish independent, accountable and efficient justice institutions capable of addressing the justice needs of the people of Somalia’.",Somalia,11422126,5521223
63928,"Global HIV, Health and Development Project",Policy and technical support to address development dimensions of HIV and health. UNDP’s work in HIV and health is guided by the 2030 Agenda for Sustainable Development & the UNDP Strategic Plan 2018-2021.,Bureau Policy & Prog Support,11240308,4750780
119944,Competencias Tecnologicas,"Desarrollo de Competencias Tecnológicas en los docentes y diferentes actores que intervienen en los centros educativos, como parte del programa República Digital",Dominican Republic,10931664,7740167
105010,COD-Fonds de Cohérence_Ensemble pour la paix,Fonds de Cohérence pour la stabilisation_Projet Ensemble pour la paix en republique democratique du congo,Democratic Republic of Congo,10898158,265312
85258,"Prevention, treatment and care of HIV in Tajikistan, II","The project goal is to continue strengthening the supportive environment and scaling up prevention, treatment and care to contain the HIV epidemic in the Republic of Tajikistan",Tajikistan,10850354,4570208
130447,Gestion Logistica MINERD,Apoyo a la Digitalización de la Educación mediante la eficiencia en la gestión logística para asegurar el manejo y la distribución adecuada de los equipos necesarios para el fomento de las Tecnologías de la Información y Comunicación,Dominican Republic,10777866,0
97823,Respuesta COVID19,Fortalecimiento de la capacidad de respuesta del Estado Plurinacional de Bolivia para la emergencia del COVID-19.,Bolivia,10747427,9504699
96755,Global Programme - Rule of Law & Human Rights,Global Programme to Strengthen the Rule of Law and Human Rights for Sustaining Peace and Fostering Development,Crisis Response Unit,10679551,3553526
87758,Solvent Sector Plan Stage II,"Sector plan for Phase-out of HCFCs in the Solvent Sector in China (Stage-II, for  
2020 and 2025 compliance)",China,10412448,6477440
98331,Programa de Justicia Transicional,El programa da respuesta a los desafíos que surgen de los Acuerdos de La Habana y que implican preparar a la institucionalidad y a la sociedad para la superación de las causas del conflicto y cuyo objetivo es resarcir los daños causados a las víctimas.,Colombia,10340649,2786075
126918,Appui à la réponse nationale au COVID 19,"Appui du PNUD à la stratégie nationale de riposte au COVID-19 à travers : 1) Renforcement système de santé, 2) gestion intégrée et inclusive de la crise, 3) appui à la mitigation de l'impact socio-économique du COVID-19",Madagascar,10203560,4843260
90196,PAZ SOSTENIBLE,"Contribuir, en asocio con las instituciones, la sociedad civil y la cooperación internacional, a la implementación de la Agenda 2030 en Colombia (especialmente el Objetivo 16) en el territorio",Colombia,10077829,4353844
112820,Transitional Support to MOIA (TSM) Project,The Transitional Support to MOIA (TSM) Project has a dual purpose. The Project will conclude existing project deliverable associated with Ministry of Interior Affairs (MOIA),Afghanistan,10077747,3697994
108127,Merged Areas Governance Project,The Merged Areas Governance Project is a unified area-based project to build capacity of governance institutions in Merged Areas and assist the implementation of the Government’s FATA reform programme approved by the Federal Cabinet on 2 March 2017.,Pakistan,10054227,6015923
98771,Community-Based Agriculture and Rural Development - East (CBARD-E),"Community-Based Agriculture and Rural Development - East (CBARD-E)
To prove the viability of high-value agricultural-based interventions in improving local economies in Nangarhar as a sustainable alternative to illicit crop cultivation.",Afghanistan,10045180,1394566
126724,EU for Civil Protection,European Union for Civil Protection and Disaster Risk Resilience Strengthening in the Republic of Serbia,Serbia,10000000,8492462
75077,EFICACIA Y EFICIENCIA EN USO DE RECURSOS REGALIAS,Fortalecer las capacidades de gestión pública territorial y nacional en el uso eficaz y eficiente de los recursos provenientes del Sistema General de Regalías (SGR),Colombia,9990055,2360871
61324,PIMS 4561 GEF-SGP Operational Phase 5,PIMS 4561 - This project will provide support to communities through small grants by continuing the Small Grants Programme its fifth Operational Phase.,Bureau Policy & Prog Support,9922481,5132843
124004,Fortalecimiento Órgano Electoral Plurinacional OEP,"Fortalecer el OEP para garantizar elecciones creíbles, transparentes e inclusivas, y prevenir y/o mitigar cualquier potencial de violencia electoral.",Bolivia,9902912,4019910
116893,"État de droit, Sécurité et Cohésion sociale",Le programme vise le développement d’un Burkina Faso pacifique et inclusif qui œuvre à la promotion d’une sécurité humaine partagée et au renforcement de la justice et des droits de l’homme.,Burkina Faso,9810147,2653899
106358,Biodiversity Finance Initiative (BIOFIN) Phase II,The Biodiversity Finance Initiative (BIOFIN) Phase II aims to produce improved biodiversity and development outcomes and to contribute to filling the finance gap through the implementation of Biodiversity Finance Solutions.,Bureau Policy & Prog Support,9661363,3841030
113425,Pipol Konek,The project will support DICT's commitment to accelerate the roll-out of the Pipol Konek program which ia designed to provide free wifi internet access in public places.,Philippines,9645188,748914
116195,Supporting Stability and Recovery through Local Gov,The project aims to assist the Government of Iraq (GoI) to restore the legitimacy of the country's institutions and to renew the social contract between citizens and state in a context of fractured and sectarian governance,Iraq,9615004,2566594
117181,Eficiencia energética y calidad ambiental,"Promoción de medidas que aporten al fortalecimiento de la eficiencia energética, energías limpias y calidad ambiental en el sector eléctrico.",Ecuador,9591526,1992829
100778,Green Climate Fund,Priming Financial Instruments and Markets to Reduce Emissions from Deforestation,Ecuador,9567910,5612672
109421,Apoyo Gestión Espacios Territoriales,Apoyo a la a Implementación del Proceso de Reincorporación en los Espacios Territoriales de Capacitación y Reincorporación  mediante la gestión y apoyo en la administración de dichos espacios,Colombia,9478515,3719560
123521,Yemen Emergency Crisis Response For Prevention of Famine,Yemen Emergency Crisis Response Project for the Prevention of Famine (YECRP-FAMINE),Yemen,9403738,9403722
118265,Peace Support Facility,Peace Support Facility (PSF) project to support the political process in Hodeidah governorate,Yemen,9301917,2219181
116594,Managing Agent of the Sudan Humanitarian Fund - SDN 2018 SHF- UNDP-NGOs-SA3,SDN 2018 SHF- UNDP-NGOs-SA3 UNDP Sudan Humanitarian Fund (SHF) UNDP-NGOs-SA3 project serves to contract with and disburse funds to NGOs for SHF allocations.,"Sudan, Republic of the",9299580,7715478
112168,Effective HIV and TB control project in Kyrgyzstan,"The goal is to reduce TB & HIV burden in Kyrgyzstan through universal access to timely & quality HIV & TB diagnosis & treatment, HIV preventive activities focused on key affected population, ensuring enabling environment and programme sustainability",Kyrgyzstan,9228053,8996374
99750,Social Protection,Social Protection and Resilience Building project aims at enhancing the resilience of vulnerable Yemenis.,Yemen,9177120,5190047
77970,Access to Justice and Rule of Law,Access to Justice and Rule of Law project contributes to the strengthening of peace infrastructures and accountable governance at the national and sub-national levels.,"South Sudan, Republic of",9158826,5294259
113685,Rehabilitation of Social Services and Infrastructure,Enhancing Humanitarian Recovery and Resilience.,Syria,8945478,6606718
112383,Resiliencia climática en la Mojana - Clima y Vida,"Mejorar la resiliencia climática de las comunidades vulnerables en la Región de La Mojana a través de soluciones adaptativas a largo plazo que aborden el suministro, el uso y la gestión de riesgos relacionados con las inundaciones y la escasez de agua.",Colombia,8875433,2518449
97936,Community-Based Agriculture and Rural Development - West (CBARD-W),"Community-Based Agriculture and Rural Development - West (CBARD-W)
To prove the viability of high-value agricultural-based interventions in improving local economies in Farah and Badghis as a sustainable alternative to illicit crop cultivation.",Afghanistan,8836586,1646872
121213,Allocation d'urgence du Fonds Commun Humanitaire non-HRP - Réponse Ebola - DRC-FH/UR-NGO's Mai 2019,Allocation d'urgence du Fonds Commun Humanitaire  non-HRP - Réponse Ebola-2019 en république démocratique du Congo,Democratic Republic of Congo,8788974,4316212
88033,GCF-Resilient development in coastal zones,Strengthening capacity and institution for resilient development in coastal zones,Viet Nam,8756565,3712978
125389,Processus électoral 2020-2021,L'objectif du projet est d'assurer la coordination efficace de l'appui technique et financier des partenaires au processus électoral au Niger.,Niger,8565404,2852889
114502,BRA/18/019 - Sistema Prisional e Socieducativo CNJ,BRA/18/019 - Fortalecimento do Monitoramento e da Fiscalização do Sistema Prisional e Socioeducativo (CNJ),Brazil,8505220,4221111
98088,BRA/17/018 - Fortalecimento da Gestão dos Serviços e do Sistema de Saúde do Haiti.,BRA/17/018 - Fortalecimento da Gestão dos Serviços e do Sistema de Saúde do Haiti.,Brazil,8498080,4209917
98024,Scaling up approaches to respond to TB Challenges and Strengthening Health Systems Initiatives in Afghanistan.,Scaling Up Innovative Approaches to Respond to TB Challenges and Strengthening Health Systems Initiatives in Afghanistan is supporting by the United Nation Development Programme UNDP Country Office for Afghanistan.,Afghanistan,8490327,2786631
84664,URU/14/007 Programa de Mejoramiento de Barrios II,"Busca contribuir a mejorar las condiciones de vida de la población residente en asentamientos irregulares y áreas degradadas, mejorando el acceso de los hogares a infraestructura básica y servicios sociales y urbanos adecuados.",Uruguay,8331389,5726285
120215,Fortalecimiento MOPC,Fortalecimiento de la Gestión del Ministerio de Obras Públicas y Comunicaciones a través de asistencia técnica especializada de manera a desarrollar obras con un importante componente de sustentabilidad.,Paraguay,8241886,3201925
126803,Respuesta ante la emergencia por COVID-19 en Ecuador.,Emergencia  COVID-19 en Ecuador.,Ecuador,8227960,4088965
126826,UNDP Guinea Bissau Early Response to the COVID-19 Crisis,This project is a UNDP Guinea Bissau CO response to mitigate the negative effects of COVID-19.,Guinea-Bissau,8181766,3520863
126827,Support to the Gov of Timor-Leste responding to COVID-19,"Procured essential supplies, medicines, equipment for GoTL preparedness and response to COVID; Strengthen Nat & municipal capacities to respond and recover from COVID-19; Empower local economies through innovative local solutions in response to COVID-19",Timor-Leste,8085735,4046890
98736,Green Climate Fund Vaisigano River Catchment,Integrated Flood Management to Enhance Climate Resilience of the Vaisigano River Catchment in Samoa,Samoa,8060392,2275939
98752,GAVI Phase II-Improving vaccination systems,Improving efficiency of vaccination systems through operationalisation of web based vaccine management system in all the districts of select states,India,7920872,7098144
99947,Yemen Crisis Response Project II,"The 24-month Emergency Crisis Response Project (ECRP) aims to mitigate the impact of the current crisis on local households and communities and assist their recovery from the bottom-up using local systems,",Yemen,7875772,5632150
126746,COVID-19 Rapid Response,COVIDI-19 Rapid Response,Uzbekistan,7859615,1223210
82279,Activating Village Court Phase II,Activating Village Courts in Bangladesh Phase II seeks to support Village Courts in Bangladesh as an effective local dispute resolution mechanism.,Bangladesh,7836030,3696814
88875,Stabilisation and Development Programme,SDP is one of the key initiatives supported by UNDP to augment sustainable returns and development of the newly merged districts (NMDs).,Pakistan,7744932,5705624
107433,Embarazo Adolescente,Apoyo al Plan Nacional de Prevención y Reducción del Embarazo No Intencional en la Adolescencia,Argentina,7730935,3874557
95479,Appui à la Cour Pénale spéciale,Opérationnalisation de la Cour Pénale Spéciale en vue de la lutte contre l'impunité.,Central African Republic,7623333,3098245
121215,7th Operational Phase of the GEF Small Grants Programme,PIMS6271 - 7th Operational Phase of the GEF Small Grants Programme,Bureau Policy & Prog Support,7500000,0
115372,Strength. Nat. Cap. to Support Development Sectors,Strengthening National Capacities to Support Development Sectors in Egypt (OUDA),Egypt,7403836,6180784
107866,Planes de ordenamiento social de la propiedad rural,Apoyo a la Agencia Nacional de Tierras en el desarrollo de las fases de formulación e implementación de planes de ordenamiento social de la propiedad rural en la zona norte del país.,Colombia,7390356,1141968
100113,Malawi National Registration and Identification System,"The Malawi National Registration and Identification System (NRIS) project - to contribute to Government’s efforts to guarantee the fundamental right to identity, entitlement and enjoyment of full citizenship in Malawi.",Malawi,7362965,5162822
85987,Strengthening Inclusive Development in Chittagong Hill Tracts (CHT),Strengthening Inclusive Development in Chittagong Hill Tracts. The project will produce results on three interlinked levels strengthening the capacity of the population in the Chittagong Hill Tracts to shape and make decisions that impact on their lives.,Bangladesh,7355988,5085463
106781,UNDP NDC Support Programme,This Global Programme was created to support Governments to achieve transformational change by using NDC implementation as a mechanism to scale up investments in climate change and deliver sustainable development.,Bureau Policy & Prog Support,7293918,3681189
33274,Human Development Reports,Promote HD approach both internationally and nationally through HDRs and NHDRs,Human Development Report Ofc,7272578,4634773
14311,Desarrollo de los Centros de Justicia,"Proyecto de Infraestructura y Desarrollo de los Centros de Justicia, de la Corte Suprema de Justicia.",Paraguay,7236128,3550754
97461,"Primeros Años, Acompañando la crianza, Apoyo al Plan Nacional de Primera Infancia","Primeros Años, Acompañando la crianza, Apoyo al Plan Nacional de Primera Infancia",Argentina,7191102,3116788
85200,Hydro chlorofluorocarbons phase out management plan (HPMP),The hydro chlorofluorocarbons phase out management plan (HPMP) - Phase II will enable India to achieve compliance with Montreal Protocol,India,7134670,2377212
127222,CSMT Engagement Facility,"This project aims to enable the Crisis Bureau and, more broadly, the Global Policy Network to provide integrated, coherent and timely support to the Country Offices especially in crisis-setting. The project is managed by the CSMT.",Crisis Response Unit,7133904,909445
118420,Disaster Risk Resilience Prog,"This programme aims to achieve the following: Strengthened capacity disaster risk and resilience governance, improved delivery of risk reduction and early recovery services; improved capacity for planning, monitoring & evaluation of the DRM sector.",Malawi,7080848,4332848
114992,GF Health System Strengthening,Global Fund: to strengthen the national health system by reinforcing the medical supply chain system management and enhancing the MDR-TB treatment outcome,Mozambique,7075932,3261763
90371,Consolidación del modelo de atención por niveles de complejidad de Santiago del Estero,Consolidación del modelo de atención por niveles de complejidad de Santiago del Estero,Argentina,7046673,4806636
69288,Apoyo Programa Nacional de Protección de Bosques Nativos,El Gobierno Argentino busca fortalecer las capacidades de la Autoridad Nacional de Aplicación de la Ley de Presupuestos Mínimos de Protección de los Bosques Nativos N° 26.331 a fin de cumplir con las misiones y funciones que la misma le asigna.,Argentina,7035860,410913
115587,Security Sector Governance,"Supporting institutions to improve Peace, Security, Justice, the Rule of Law and safety of Somalis",Somalia,7009931,3419570
98460,Funding Facility for Economic Reform-Kurdistan,The Funding Facility for Economic Reform (FFER) is intended to support Kurdistan Regional Government (KRG) in ensuring implementation of reform.,Iraq,6770162,290540
